"DOI","openalex_id","Year","Authors","Title","Journal","Open Access"
"10.1037/abn0000465","https://openalex.org/W2998582571",2020,"Sarah R. Horn; Philip A. Fisher; Jennifer H. Pfeifer; Nicholas B. Allen; Elliot T. Berkman","Levers and barriers to success in the use of translational neuroscience for the prevention and treatment of mental health and promotion of well-being across the lifespan.","Journal of Abnormal Psychology",FALSE
"10.1016/j.janxdis.2018.10.006","https://openalex.org/W2899024077",2019,"Jessica L. Maples-Keller; Tanja Jovanovic; Boadie W. Dunlop; Sheila A.M. Rauch; Carly Yasinski; Vasiliki Michopoulos; Callan Coghlan; Seth D. Norrholm; Albert Rizzo; Kerry J. Ressler; Barbara O. Rothbaum","When translational neuroscience fails in the clinic: Dexamethasone prior to virtual reality exposure therapy increases drop-out rates","Journal of Anxiety Disorders",FALSE
"10.1037/ccp0000309","https://openalex.org/W2902023166",2018,"Rebecca B. Price; Logan Cummings; Danielle Gilchrist; Simona Graur; Layla Banihashemi; Susan S Kuo; Greg J. Siegle","Towards personalized, brain-based behavioral intervention for transdiagnostic anxiety: Transient neural responses to negative images predict outcomes following a targeted computer-based intervention.","Journal of Consulting and Clinical Psychology",TRUE
"10.1016/j.biopsycho.2006.01.006","https://openalex.org/W2140506445",2006,"Mauricio R. Delgado; Andreas Olsson; Elizabeth A. Phelps","Extending animal models of fear conditioning to humans","Biological Psychology",FALSE
"10.1007/s00278-020-00402-4","https://openalex.org/W3007770675",2020,"Viktoria Ritter; Ulrich Stangier","Prozessbasierte Therapie der körperdysmorphen Störung","Psychotherapeut",FALSE
"10.1371/journal.pone.0192802","https://openalex.org/W2790682781",2018,"Bernhard Strauß; Uwe Altmann; Susanne Schwager; Anne Tholl; Susan Koranyi; Tobias Nolte; Manfred E. Beutel; Jörg Wiltink; Stephan Herpertz; Wolfgang Hiller; Jürgen Hoyer; Peter Joraschky; Björn Nolting; Viktoria Ritter; Ulrich Stangier; Ulrike Willutzki; Simone Salzer; Eric Leibing; Falk Leichsenring; Helmut Kirchmann","Changes of attachment characteristics during psychotherapy of patients with social anxiety disorder: Results from the SOPHO-Net trial","PLOS ONE",TRUE
"10.1037/ccp0000340","https://openalex.org/W2902900989",2018,"Henrik Kessler; Emily A. Holmes; Simon E. Blackwell; Anna-Christine Schmidt; Johanna M. Schweer; Anna Bücker; Stephan Herpertz; Nikolai Axmacher; Aram Kehyayan","Reducing intrusive memories of trauma using a visuospatial interference intervention with inpatients with posttraumatic stress disorder (PTSD).","Journal of Consulting and Clinical Psychology",FALSE
"10.1016/j.jbtep.2015.07.007","https://openalex.org/W1896666894",2016,"Viktoria Ritter; Ulrich Stangier","Seeing in the Mind's eye: Imagery rescripting for patients with body dysmorphic disorder. A single case series","Journal of Behavior Therapy and Experimental Psychiatry",FALSE
"10.1037/ccp0000311","https://openalex.org/W2903278581",2018,"Klaske A. Glashouwer; Renate Neimeijer; Marlies de Koning; Michiel Vestjens; Carolien Martijn","Evaluative conditioning as a body image intervention for adolescents with eating disorders.","Journal of Consulting and Clinical Psychology",FALSE
"10.1037/ccp0000310","https://openalex.org/W2902259154",2018,"Colette R. Hirsch; Charlotte Krahé; Jessica Whyte; Sofia Loizou; Livia Bridge; Sam Norton; Andrew Mathews","Interpretation training to target repetitive negative thinking in generalized anxiety disorder and depression.","Journal of Consulting and Clinical Psychology",FALSE
"10.1080/10503307.2013.802824","https://openalex.org/W1980939097",2013,"Viktoria Ritter; Falk Leichsenring; Bernhard Strauss; Ulrich Stangier","Changes in implicit and explicit self-esteem following cognitive and psychodynamic therapy in social anxiety disorder","Psychotherapy Research",FALSE
"10.1037/a0012589","https://openalex.org/W2039854536",2009,"Nader Amir; Courtney Beard; Michelle Nicole Burns; Jessica Bomyea","Attention modification program in individuals with generalized anxiety disorder.","Journal of Abnormal Psychology",NA
